CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
21,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,4,7,6,6,2,7,Nada,Hay problemas más importantes,Mucho,,,Menciona,,Menciona,Menciona,,,,,Ninguno,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,Positivamente,Positivamente,Positivamente,,Positivamente,Sin influencia,Sí,,,Hombre,Casado,2 Hijos,40,Estudios de formación profesional,Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Mucha,15.0,4.0,De 46.000 ptas a 65.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,"Vendedores, Agentes Comerciales, etc...",,,1.0,4.0,7.0,6.0,6.0,2.0,7.0,36-45,1.0
22,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Radio,Televisión,Poco/un poco/ nada,Insuficiente,8 a 11 meses,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,2,5,4,,2,5,Algo,,Poco,Menciona,,Menciona,,Menciona,,,,,,,N.S,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Sin influencia,,Positivamente,Positivamente,Positivamente,No,,6,Mujer,Casado,Ninguno,22,Estudios de formación profesional,Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,No votó,Mucha,15.0,7.0,De 36.000 ptas a 45.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,1.0,2.0,5.0,4.0,,2.0,5.0,18-25,0.0
23,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,Televisión,La mayoría de los artículos,Suficiente,5 a 7 meses,No menciona,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,5,5,4,3,,3,Algo,Hay problemas más importantes,Mucho,,,Menciona,,,,,,Menciona,,,N.S,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Negativamente,Positivamente,Positivamente,,,,Sí,A favor,,Hombre,Casado,Ninguno,32,Universitario o técnicos de grado superior,No creyente,,Está parado,De 26.000 ptas a 35.000 ptas mensuales,Otros,Mucha,15.0,7.0,De 26.000 ptas a 35.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,5.0,2.0,5.0,5.0,4.0,3.0,,3.0,26-35,1.0
24,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,N.S,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,5,,Mucho,Falta de información política,Poco,,,Menciona,Menciona,,,,,,,,N.S,N.S,En desacuerdo,N.S,N.S,En desacuerdo,En desacuerdo,N.S,N.S,N.S,Positivamente,,Sin influencia,Positivamente,Positivamente,Positivamente,Sí,,,Hombre,Casado,1 Hijo,42,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,,Mucha,10.0,9.0,De 36.000 ptas a 45.000 ptas mensuales,8,Área de Barcelona,Más de 1.000.000 habitantes,Obreros cualificados,,,,,,,,5.0,,36-45,1.0
25,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Prensa,Televisión,Sólo una parte,Suficiente,N.S,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,4,6,6,5,6,5,5,Algo,,Mucho,,,,Menciona,Menciona,,,,,,,En desacuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,3,Hombre,Viudo,2 Hijos,66,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está jubilado y antes estaba empleado,De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Mucha,15.0,2.0,De 19.000 ptas a 25.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Obreros cualificados,Industrial comercial,4.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,66-75,1.0
26,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,1 año,No menciona,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,3,5,6,6,7,,4,Algo,Falta de información política,Mucho,,,Menciona,,Menciona,,,,,Menciona,,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Sin influencia,Positivamente,Positivamente,Positivamente,Sí,A favor,4,Mujer,Casado,1 Hijo,29,Universitario o técnicos de grado superior,Católico no practicante,Varias veces al año,Trabaja por su cuenta,De 46.000 ptas a 65.000 ptas mensuales,U.C.D,Mucha,15.0,8.0,De 46.000 ptas a 65.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,,Industrial comercial,7.0,3.0,5.0,6.0,6.0,7.0,,4.0,26-35,1.0
27,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,8 a 11 meses,No menciona,Juega un papel importante,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,,6,5,2,6,3,2,Mucho,,Mucho,,,,,,,,,,,Menciona,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Sin influencia,Positivamente,Sin influencia,Sí,A favor,4,Hombre,Casado,Ninguno,73,Estudios primarios completos. cultural general,Católico practicante,Los domingos y festivos,Está jubilado y antes trabajaba por su cuenta,De 26.000 ptas a 35.000 ptas mensuales,U.C.D,Mucha,10.0,6.0,De 36.000 ptas a 45.000 ptas mensuales,5,Área de Barcelona,Más de 1.000.000 habitantes,,,5.0,,6.0,5.0,2.0,6.0,3.0,2.0,66-75,1.0
28,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Sólo una parte,Suficiente,Menos de 5 meses,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,3,5,7,6,7,3,3,Algo,Falta de información,Mucho,,,,,,,,,,Menciona,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,2,Mujer,Casado,4 hijos o más,52,Bachiller superior,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.S.O.E,Mucha,25.0,9.0,De 36.000 ptas a 45.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,3.0,5.0,7.0,6.0,7.0,3.0,3.0,46-55,1.0
29,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,Prensa,Poco/un poco/ nada,Suficiente,5 a 7 meses,No menciona,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,6,7,6,5,,4,Mucho,Hay problemas más importantes,Algo,,,,,,,Menciona,,,,,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,4,Mujer,Soltero,2 Hijos,23,Bachiller superior,Católico no practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 66.000 ptas a 85.000 ptas mensuales,Otros,Bastante,13.0,6.0,De 66.000 ptas a 85.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,8.0,5.0,6.0,7.0,6.0,5.0,,4.0,18-25,1.0
30,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,La mayoría de los artículos,Suficiente,8 a 11 meses,Juega un papel importante,Juega un papel importante,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,2,3,4,4,6,2,2,Poco,,Mucho,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,,Negativamente,Positivamente,Positivamente,Sin influencia,Sí,A favor,4,Hombre,Casado,1 Hijo,61,Bachiller elemental,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,Otros,Bastante,10.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,"Capataces, encargados, contramaestres",,,2.0,3.0,4.0,4.0,6.0,2.0,2.0,56-65,1.0
31,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,Revistas,Sólo una parte,Insuficiente,5 a 7 meses,Juega un papel importante,Juega un papel importante,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,1,6,6,6,6,6,4,Algo,No se confía en la política/la gente está desilusionada,Mucho,,,,Menciona,,,,,,,Ninguno,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,,Sin influencia,Positivamente,Positivamente,Sin influencia,Sí,A favor,2,Hombre,Soltero,2 Hijos,22,Universitario o técnicos de grado superior,No creyente,,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,P.C.E.,Mucha,10.0,1.0,Más de 85.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,9.0,1.0,6.0,6.0,6.0,6.0,6.0,4.0,18-25,1.0
32,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Todo,Suficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,1,2,3,4,5,7,Mucho,Falta de información política,Algo,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,N.S,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Positivamente,Sin influencia,Sin influencia,Sin influencia,,Sí,A favor,3,Hombre,Soltero,2 Hijos,19,Universitario o técnicos de grado superior,Indiferente,,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,No votó,Mucha,10.0,1.0,Más de 85.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,9.0,5.0,1.0,2.0,3.0,4.0,5.0,7.0,18-25,1.0
33,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,8 a 11 meses,Juega un papel importante,No menciona,No menciona,Juega un papel importante,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,4,2,2,3,5,,5,Poco,,Mucho,,,,,,Menciona,,,,,,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Sin influencia,Sin influencia,Sin influencia,Sin influencia,Sin influencia,Positivamente,No,,,Mujer,Casado,3 Hijos,48,Bachiller superior,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,,Bastante,15.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Empleados a nivel superior,Industrial comercial,,4.0,2.0,2.0,3.0,5.0,,5.0,46-55,0.0
34,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,1 año,Juega un papel importante,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Algo,Falta de información política,Nada,Menciona,,,,,,,,,,Menciona,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Sin influencia,Sin influencia,,Positivamente,Positivamente,Sin influencia,,,4,Mujer,Casado,3 Hijos,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,No votó,Bastante,10.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,,,4.0,,,,,,,,46-55,
35,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Prensa,Televisión,La mayoría de los artículos,Suficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,,,Mucho,,,,,,Menciona,,,,,,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,,Sin influencia,,,,Sí,A favor,3,Hombre,Soltero,2 Hijos,21,Universitario o técnicos de grado superior,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,No votó,Bastante,15.0,1.0,Más de 85.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,9.0,,,,,,,,18-25,1.0
36,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,2,,Poco,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,Positivamente,Sin influencia,Sin influencia,Sin influencia,,,4,Mujer,Casado,3 Hijos,62,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,,Bastante,5.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,Extrema derecha,Área de Barcelona,Más de 1.000.000 habitantes,N.C,,,,,,,,2.0,,56-65,
37,Conjunto de principios básicos que regulan la vida de los es,Solo cuando el tema/ o los temas me interesaban de forma esp,Televisión,Prensa,La mayoría de los artículos,Insuficiente,8 a 11 meses,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,4,3,4,2,3,,3,Mucho,,Mucho,,,,,,,,,,,,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,,,Positivamente,No,,,Hombre,Soltero,2 Hijos,25,Universitario o técnicos de grado superior,No creyente,,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,No votó,Mucha,10.0,1.0,Más de 85.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,9.0,4.0,3.0,4.0,2.0,3.0,,3.0,18-25,0.0
38,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Radio,Poco/un poco/ nada,Insuficiente,5 a 7 meses,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,4,7,7,,4,2,3,Mucho,No se confía en la política/la gente está desilusionada,Mucho,,,,Menciona,,,,,,,,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,Positivamente,Positivamente,Negativamente,Positivamente,Positivamente,Positivamente,Sí,A favor,4,Mujer,Casado,1 Hijo,42,"Menos de estudios primarios, no sabe leer",Católico practicante,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,No votó,Bastante,10.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,Empleados subalternos,,4.0,4.0,7.0,7.0,,4.0,2.0,3.0,36-45,1.0
39,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Poco/un poco/ nada,Suficiente,1 año,No menciona,No menciona,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,1,3,7,2,6,4,6,Mucho,Hay problemas más importantes,Algo,,,,,,,,,,,,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Sin influencia,Positivamente,Positivamente,Positivamente,Sí,A favor,3,Mujer,Casado,1 Hijo,28,Bachiller superior,Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.S.O.E,Bastante,10.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,"Director de empresa, directivos",,6.0,1.0,3.0,7.0,2.0,6.0,4.0,6.0,26-35,1.0
40,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Radio,Sólo una parte,Insuficiente,Menos de 5 meses,Juega un papel importante,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,4,,6,3,,3,,Algo,,Mucho,,,,,Menciona,,,,,,,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Positivamente,Sin influencia,Sin influencia,Sin influencia,Positivamente,Sin influencia,Sí,A favor,2,Hombre,Casado,2 Hijos,61,Estudios de formación profesional,Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,P.S.O.E,Mucha,10.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Empleados subalternos,,5.0,4.0,,6.0,3.0,,3.0,,56-65,1.0
41,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Prensa,Televisión,Poco/un poco/ nada,Suficiente,5 a 7 meses,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,6,5,5,4,,4,Poco,,Nada,,,,,,,,,,,,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,N.S,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,,Positivamente,Positivamente,Positivamente,No,,2,Hombre,Soltero,4 hijos o más,20,Universitario o técnicos de grado superior,No creyente,,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,No votó,Bastante,10.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,5.0,6.0,5.0,5.0,4.0,,4.0,18-25,0.0
42,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,Radio,Poco/un poco/ nada,Suficiente,1 año,No menciona,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,,,Algo,,,,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Positivamente,Positivamente,,,,No,,,Mujer,Viudo,2 Hijos,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),,No votó,Poco,15.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,Extrema derecha,Área de Barcelona,Más de 1.000.000 habitantes,Empleados subalternos,,,,,,,,,,46-55,0.0
43,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,Algo,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,Positivamente,Positivamente,Positivamente,Positivamente,,,4,Mujer,Viudo,Ninguno,66,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está jubilado y antes estaba empleado,De 36.000 ptas a 45.000 ptas mensuales,No votó,Bastante,15.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,,,,,,,,66-75,
44,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,La mayoría de los artículos,Suficiente,5 a 7 meses,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,,,,,,1,,Mucho,,Algo,,,,,,Menciona,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,2,Mujer,Casado,Ninguno,49,Bachiller superior,,,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.S.O.E,Mucha,35.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,6.0,,,,,,1.0,,46-55,1.0
45,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Sólo una parte,Suficiente,5 a 7 meses,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,1,1,5,5,1,1,7,Poco,,Mucho,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,Sin influencia,Positivamente,,,Sí,A favor,2,Hombre,Soltero,3 Hijos,48,Bachiller elemental,No creyente,,Está empleado (trabaja por cuenta ajena),,No votó,Mucha,30.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,,1.0,1.0,5.0,5.0,1.0,1.0,7.0,46-55,1.0
46,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,8 a 11 meses,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,1,1,1,1,1,,1,Mucho,,Algo,,,,,,Menciona,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Sin influencia,,Sin influencia,Sin influencia,Positivamente,Sí,A favor,2,Hombre,Casado,1 Hijo,20,Bachiller elemental,No creyente,,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,No votó,Mucha,30.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,2,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,Empresario Industrial,5.0,1.0,1.0,1.0,1.0,1.0,,1.0,18-25,1.0
48,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Sólo una parte,Insuficiente,5 a 7 meses,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,6,,,,,,,Mucho,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,,Negativamente,,,,Sí,A favor,2,Hombre,Casado,1 Hijo,30,Bachiller superior,Católico no practicante,Nunca,Trabaja por su cuenta,,,Bastante,0.0,1.0,,8,Área de Barcelona,Más de 1.000.000 habitantes,,,,,,6.0,,,,,26-35,1.0
49,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,1,,Mucho,,,,,Menciona,Menciona,,,,,,,,,,,,,,,,,,,,Negativamente,Negativamente,Positivamente,Negativamente,,,4,Hombre,Viudo,2 Hijos,57,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,No votó,Bastante,15.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,Empleados subalternos,,,,,,,,1.0,,56-65,
50,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,Menos de 5 meses,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,6,5,2,3,2,1,Poco,,Mucho,,,,,,,,,,,,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Positivamente,Negativamente,,Positivamente,Negativamente,Negativamente,Sí,A favor,3,Mujer,Casado,Ninguno,66,Universitario o técnicos de grado superior,Católico practicante,Varias veces por semana,,,U.C.D,Bastante,20.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,,,,5.0,6.0,5.0,2.0,3.0,2.0,1.0,66-75,1.0
51,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,3,4,4,4,3,2,2,Algo,,Algo,,,,,,Menciona,Menciona,,,,,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Positivamente,Negativamente,Sin influencia,,,,Sí,,4,Mujer,Casado,3 Hijos,34,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,U.C.D,Mucha,20.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,26-35,1.0
